Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Jamaica,"2,828",712,169,14,11,11,10,3,14,414,342,103,483,70,97,93,90,90,88,85,89,89,-,-,91,5,220,2,7,37,1.7,0.6,"5,582",91,87,97,No,No,6,10,79,78
Japan,"124,613","17,962","4,286",2,2,2,1,1,2,"1,930",667,758,"1,292",85,95,98,96,96,98,95,92,95,-,95,-,1,"1,661",-,-,34,1.3,0.8,"40,247",99,100,-,Yes,Yes,3,2,98,98
Jordan,"11,148","4,289","1,195",16,13,13,9,2,9,"3,545","2,087",580,"2,221",60,76,78,77,76,76,90,77,77,75,-,92,4,910,-,5,40,1.9,0.7,"4,405",99,97,-,No,Yes,15,24,-,-
Kazakhstan,"19,196","6,498","2,009",12,9,9,5,3,8,"4,295","2,081",938,"3,384",76,94,98,95,95,97,96,95,95,-,93,-,4,"1,240",-,44,27,1.0,0.8,"9,813",95,98,-,Yes,No,4,5,57,60
Kenya,"53,006","24,050","6,913",40,34,28,18,9,19,"54,038","27,040","12,259","27,720",56,97,99,91,91,89,57,91,91,91,92,85,10,"12,823",44,30,41,1.9,0.7,"1,817",62,33,-,No,Yes,2,3,86,78
Kiribati,129,53,17,52,44,38,21,9,14,168,73,28,50,51,96,99,92,91,80,58,94,95,80,99,93,11,27,-,-,37,1.6,0.7,"1,655",78,46,-,No,No,-,-,-,-
Kuwait,"4,250","1,043",259,10,8,7,5,2,5,434,217,114,242,70,99,99,94,94,94,94,94,94,75,96,99,3,148,-,-,36,2.4,-,"32,000",100,100,100,No,No,1,6,83,73
Kyrgyzstan,"6,528","2,574",805,19,15,16,12,3,6,"2,774","1,881",390,"1,018",70,97,89,89,90,93,97,89,88,90,90,-,5,554,-,24,28,1.0,0.8,"1,310",92,98,-,Yes,No,6,9,-,-
Lao People's Democratic Republic,"7,425","2,739",790,47,38,34,21,7,16,"6,939","3,434","1,031","2,666",50,80,85,75,74,73,50,75,75,-,74,93,9,"1,289",42,13,36,1.6,0.7,"2,535",85,79,35,Yes,Yes,1,1,-,-
Latvia,"1,874",348,93,4,3,3,2,1,3,65,35,19,58,72,96,96,94,94,97,85,94,93,84,92,-,3,49,42,100,35,1.4,0.7,"17,819",99,92,100,Yes,Yes,7,5,-,-
Lebanon,"5,593","1,847",445,9,8,7,5,2,6,724,404,216,505,72,-,88,67,64,67,59,67,67,-,70,-,3,349,-,-,32,1.2,0.8,"7,584",93,99,36,No,No,5,10,-,-
Lesotho,"2,281",916,275,79,66,57,35,8,27,"4,312","2,100",423,"1,632",48,96,92,87,87,90,82,87,87,74,87,85,14,636,-,-,45,2.4,0.5,"1,118",72,50,-,No,No,20,28,45,46
Liberia,"5,193","2,492",745,82,70,57,30,17,23,"12,187","4,866","2,377","3,806",42,81,81,66,64,58,35,66,66,68,65,90,20,"2,508",30,-,35,1.4,0.7,622,75,18,-,Yes,No,4,2,-,-
Libya,"6,735","2,332",614,12,10,9,6,3,7,"1,306",692,357,827,60,74,74,73,73,73,72,73,73,73,73,-,4,548,-,-,30,-,-,"7,686",100,92,13,Yes,No,15,24,-,-
Liechtenstein,39,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,"181,403",100,100,-,-,-,-,-,-,-
Lithuania,"2,787",499,140,4,3,3,2,1,3,91,51,37,69,70,93,93,90,90,88,88,90,90,48,82,-,3,72,66,100,35,1.5,0.7,"19,551",98,94,-,Yes,Yes,7,6,85,81
Luxembourg,639,122,33,3,2,2,2,0,4,18,11,2,24,86,-,99,99,99,99,90,96,99,89,96,-,1,9,-,100,32,1.2,0.7,"114,685",100,98,-,Yes,Yes,6,6,-,-
